Iteracion mejor solucion;tiempo;ruta;coste
46;0;0 21 23 25 22 10 11 8 6 9 3 4 7 20 24 5 1 12 16 14 19 17 18 13 26 2 15 ;380
47;0;0 20 24 25 22 10 8 7 4 1 3 2 23 21 11 9 5 13 18 19 16 14 17 15 26 12 6 ;458
48;0;0 22 23 21 20 25 10 8 6 9 11 3 5 4 24 7 1 2 12 15 16 13 18 17 14 19 26 ;405
49;0;0 22 20 23 24 21 7 4 6 9 8 10 11 5 1 3 25 13 18 19 15 17 12 2 14 26 16 ;433
50;0;0 21 23 25 20 10 11 9 4 7 8 6 3 5 24 22 1 12 16 15 14 19 13 2 26 17 18 ;415
51;0;0 20 22 25 21 10 7 5 1 4 6 8 23 3 2 13 17 18 16 15 11 9 12 24 14 19 26 ;452
52;0;0 20 21 25 23 10 8 6 9 7 4 5 3 1 11 13 18 17 16 12 19 14 2 24 15 26 22 ;407
53;0;0 22 23 21 24 10 7 4 3 1 6 9 5 8 13 11 17 15 16 14 18 19 12 25 20 2 26 ;398
54;0;0 22 23 21 20 10 7 4 3 1 2 5 9 11 6 8 13 15 19 17 18 16 24 12 14 26 25 ;414
55;0;0 21 22 20 24 23 10 7 3 1 4 5 6 8 2 9 13 18 17 15 14 16 12 19 26 25 11 ;433
56;0;0 20 24 22 25 23 11 8 9 6 3 5 1 7 21 4 13 18 17 15 16 10 14 19 12 2 26 ;389
57;0;0 21 23 20 24 25 22 10 7 4 6 9 11 5 3 8 1 13 15 16 14 17 19 18 12 2 26 ;380
58;0;0 21 23 25 24 22 11 10 7 4 6 8 5 3 2 1 9 12 15 19 16 13 17 14 18 20 26 ;408
59;0;0 22 21 25 24 10 11 9 8 6 3 4 1 5 20 7 13 17 15 16 14 18 2 12 26 23 19 ;446
60;0;0 22 21 20 25 10 7 4 3 6 8 9 5 23 24 11 13 18 19 15 17 16 12 1 26 14 2 ;471
61;0;0 21 23 25 22 24 10 8 9 6 3 5 4 1 7 2 13 15 19 18 14 16 17 20 11 12 26 ;425
62;0;0 20 24 22 25 21 23 10 7 5 1 4 2 8 6 11 13 18 19 15 16 3 12 14 26 9 17 ;434
63;0;0 21 20 23 25 10 7 5 3 4 1 2 8 6 9 12 15 19 17 13 14 11 24 16 26 18 22 ;454
64;0;0 22 23 25 20 10 11 8 9 6 7 3 4 1 21 2 12 15 13 19 16 5 17 14 24 18 26 ;462
65;0;0 20 22 21 24 25 23 11 8 6 7 4 1 10 3 5 2 9 15 13 18 16 17 14 19 12 26 ;390
66;0;0 20 22 23 21 24 10 11 9 4 6 3 7 1 8 25 13 17 15 16 2 14 19 12 5 26 18 ;468
67;0;0 22 20 24 25 23 11 9 4 7 5 6 1 2 3 10 8 21 13 17 18 19 16 14 26 15 12 ;438
68;0;0 20 21 23 24 22 10 11 8 7 5 3 6 4 1 2 25 13 18 17 19 16 14 15 9 26 12 ;368
69;0;0 21 22 20 23 10 11 9 8 6 4 1 3 5 2 7 13 15 16 14 12 17 19 25 26 24 18 ;397
70;0;0 20 24 21 22 23 10 8 7 3 1 5 2 6 4 11 17 18 15 13 16 9 25 12 26 14 19 ;484
71;0;0 21 22 23 20 25 24 7 5 3 4 2 1 9 11 6 8 13 17 19 15 18 14 10 26 16 12 ;462
72;0;0 22 23 25 20 24 11 10 7 3 4 6 9 2 5 1 21 13 18 17 15 14 19 8 26 12 16 ;408
73;0;0 22 21 25 24 10 7 4 1 2 5 6 20 8 9 11 13 18 15 14 19 17 12 16 3 26 23 ;428
74;0;0 20 21 25 23 22 10 7 3 1 5 6 9 4 11 2 13 17 18 15 19 14 8 12 26 16 24 ;430
75;0;0 22 23 25 21 24 11 10 7 4 6 8 20 3 5 2 9 1 13 18 17 15 14 16 19 12 26 ;400
76;0;0 20 22 25 24 21 23 11 10 7 3 4 5 6 1 9 8 17 15 16 14 19 18 12 2 13 26 ;386
77;0;0 22 21 23 25 20 24 11 10 7 3 5 4 6 8 2 1 9 13 17 15 14 12 18 19 16 26 ;378
78;0;0 20 22 21 24 10 8 7 5 4 3 1 2 23 11 6 13 17 18 19 14 12 16 9 15 26 25 ;406
79;0;0 21 23 22 25 24 20 5 3 4 7 9 11 8 6 10 2 13 18 15 14 16 17 1 12 26 19 ;496
80;0;0 21 20 23 25 10 11 8 7 3 1 5 4 6 22 13 18 15 19 17 14 12 16 24 2 26 9 ;398
81;0;0 21 22 23 20 10 11 6 4 7 3 8 1 9 2 25 24 13 18 17 16 14 19 12 26 15 5 ;397
82;0;0 21 22 23 20 24 25 10 11 8 9 4 7 1 5 2 3 12 16 19 18 15 13 14 6 26 17 ;445
83;0;0 21 20 24 22 10 11 9 4 7 3 1 2 8 23 25 6 13 18 15 14 12 17 19 5 26 16 ;471
84;0;0 22 23 20 21 25 10 7 3 4 6 8 5 1 11 9 12 16 19 15 17 13 24 2 18 26 14 ;478
85;0;0 22 20 21 24 25 23 10 7 3 5 4 6 1 9 8 2 13 15 16 17 18 12 11 14 26 19 ;483
86;0;0 21 20 23 25 24 11 8 6 9 10 3 7 22 1 5 13 17 15 19 18 14 4 2 26 12 16 ;401
87;0;0 21 23 20 22 10 8 7 5 3 4 6 9 1 13 25 24 18 17 16 15 2 14 19 26 11 12 ;487
88;0;0 21 23 22 24 10 8 7 3 1 4 6 5 2 11 13 18 19 15 17 14 16 9 12 25 26 20 ;429
89;0;0 21 20 24 22 25 23 10 11 9 6 8 7 4 3 2 1 13 15 19 16 17 12 14 18 26 5 ;410
90;0;0 22 23 20 24 21 25 11 10 7 3 4 5 1 6 8 9 2 12 15 13 19 17 16 14 18 26 ;420
91;0;0 20 21 23 25 10 7 4 1 3 6 8 9 11 5 13 17 19 15 12 14 2 24 22 16 26 18 ;461
92;0;0 20 22 23 21 24 11 10 8 7 3 1 2 5 9 13 18 15 19 14 17 16 4 25 12 26 6 ;452
93;0;0 22 21 25 20 10 11 8 6 9 4 7 23 5 2 1 13 18 15 14 16 24 19 12 17 3 26 ;412
94;0;0 22 20 21 25 10 11 9 6 7 5 3 4 8 23 1 13 18 19 16 15 14 17 24 2 12 26 ;407
95;0;0 20 21 22 25 10 8 9 11 7 4 1 5 3 6 2 12 16 15 19 17 14 18 23 13 24 26 ;403
96;0;0 21 23 25 22 20 7 3 4 1 2 24 8 9 10 6 11 17 13 18 15 12 14 19 16 5 26 ;404
97;0;0 20 24 22 23 25 11 9 8 10 6 7 5 3 21 2 13 17 15 14 12 16 18 4 1 26 19 ;461
98;0;0 20 22 25 24 10 11 6 9 4 3 5 8 1 2 21 7 23 13 15 14 16 18 19 12 26 17 ;454
99;0;0 21 22 23 24 10 11 9 8 6 7 4 3 1 20 5 2 25 18 19 17 13 16 12 15 26 14 ;516
